id,author_id,created_at,geo,retweet_count,reply_count,like_count,qoute_count,text,entities,context_annotations
1282358264467001347,1072187272815149057,2020-07-12 16:56:49+00:00,,231,27,535,6,"Mit deutscher Hilfe baut Bangladesch gerade am größten Mangrovengebiet der Welt ein neues Kohlekraftwerk. Die Stuttgarter Firma Fichtner spielt dabei eine zentrale Rolle – außerdem mehrere Banken. Folgt @StopFichtner, um aktiv zu werden! #SaveTheSundarbans
https://t.co/HJ1qeirwy4","{'mentions': [{'start': 203, 'end': 216, 'username': 'stopfichtner', 'id': '1281296680504250375'}], 'urls': [{'start': 257, 'end': 280, 'url': 'https://t.co/HJ1qeirwy4', 'expanded_url': 'https://www.sueddeutsche.de/wirtschaft/umweltschutz-im-sumpf-der-sundarbans-1.4954765', 'display_url': 'sueddeutsche.de/wirtschaft/umw…', 'status': 200, 'unwound_url': 'https://www.sueddeutsche.de/wirtschaft/umweltschutz-im-sumpf-der-sundarbans-1.4954765'}], 'hashtags': [{'start': 238, 'end': 256, 'tag': 'SaveTheSundarbans'}]}",[]
1281845680789549063,1072187272815149057,2020-07-11 07:00:00+00:00,,98,15,411,3,Große Teile Chinas stehen gerade unter Wasser. Das zeigt schon wieder: Die Folgen der #Klimakrise treffen die am wenigsten privilegierten am stärksten. Klimaaktivistin @Howey_ou engagiert sich in China gegen diese Ungerechtigkeit! #ChinaFloods https://t.co/AesPlXJPRJ,"{'mentions': [{'start': 168, 'end': 177, 'username': 'howey_ou', 'id': '1126766656884068352'}], 'urls': [{'start': 244, 'end': 267, 'url': 'https://t.co/AesPlXJPRJ', 'expanded_url': 'https://twitter.com/FridayForFuture/status/1281845680789549063/video/1', 'display_url': 'pic.twitter.com/AesPlXJPRJ', 'media_key': '13_1281673965417701382'}], 'hashtags': [{'start': 86, 'end': 97, 'tag': 'Klimakrise'}, {'start': 231, 'end': 243, 'tag': 'ChinaFloods'}]}",[]
1281679689724112897,1072187272815149057,2020-07-10 20:00:25+00:00,,57,10,307,3,"In der SZ fasst @MarleneJWeiss die aktuellen Erkenntnisse zur #Klimakrise zusammen: ""Die globale Erwärmung ist auf dem Weg zu neuen Rekorden.""
https://t.co/ynhowkUOHd","{'mentions': [{'start': 16, 'end': 30, 'username': 'MarleneJWeiss', 'id': '87939445'}], 'urls': [{'start': 143, 'end': 166, 'url': 'https://t.co/ynhowkUOHd', 'expanded_url': 'https://www.sueddeutsche.de/wissen/klimawandel-paris-klimaschutz-sibirien-1.4962610', 'display_url': 'sueddeutsche.de/wissen/klimawa…'}], 'hashtags': [{'start': 62, 'end': 73, 'tag': 'Klimakrise'}]}",[]
1281679686213480450,1072187272815149057,2020-07-10 20:00:24+00:00,,249,39,956,7,"Seit Beginn der Messungen war es nie heißer als in den letzten 12 Monaten. Die kritischen 1,5° könnten in wenigen Jahren überschritten werden – und keine Fraktion hat einen Plan, die deutschen Zusagen von Paris einzuhalten.

Nie lagen Anspruch und Wirklichkeit weiter auseinander. https://t.co/vhYt5ciAjv","{'urls': [{'start': 281, 'end': 304, 'url': 'https://t.co/vhYt5ciAjv', 'expanded_url': 'https://twitter.com/FridayForFuture/status/1281679686213480450/photo/1', 'display_url': 'pic.twitter.com/vhYt5ciAjv', 'media_key': '3_1281677077142536193'}, {'start': 281, 'end': 304, 'url': 'https://t.co/vhYt5ciAjv', 'expanded_url': 'https://twitter.com/FridayForFuture/status/1281679686213480450/photo/1', 'display_url': 'pic.twitter.com/vhYt5ciAjv', 'media_key': '3_1281677087527645188'}]}",[]
1281523394467504130,1072187272815149057,2020-07-10 09:39:21+00:00,,161,14,534,15,"Mit Kohle, Öl und Gas will @JoeKaeser seinen Konzern #Siemens Energy zu einem der größten Energieunternehmen der Welt machen. Das zeigt: Siemens hat aus #StopAdani nichts gelernt! Wir sehen uns bei den Protesten zum Börsengang. https://t.co/62tjV7Dti5","{'mentions': [{'start': 27, 'end': 37, 'username': 'JoeKaeser', 'id': '874647878060445696'}], 'urls': [{'start': 228, 'end': 251, 'url': 'https://t.co/62tjV7Dti5', 'expanded_url': 'https://twitter.com/FridayForFuture/status/1281523394467504130/video/1', 'display_url': 'pic.twitter.com/62tjV7Dti5', 'media_key': '7_1281520593762947072'}], 'hashtags': [{'start': 53, 'end': 61, 'tag': 'Siemens'}, {'start': 153, 'end': 163, 'tag': 'StopAdani'}]}","[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597226799105', 'name': 'B2B'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597172203520', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026461380', 'name': 'Siemens'}}]"
1281201813434269696,1072187272815149057,2020-07-09 12:21:30+00:00,,63,14,220,1,"In this ongoing Corona-crisis the climatecrisis hits with the devastating, record breaking #ChinaFloods. Thousands of people are fighting for survival while the German government still fails to treat the #ClimateCrisis as the biggest thread to humanity. 
https://t.co/z2qv6rK0nW","{'urls': [{'start': 255, 'end': 278, 'url': 'https://t.co/z2qv6rK0nW', 'expanded_url': 'https://www.nytimes.com/2020/07/03/world/asia/china-floods-rain.html', 'display_url': 'nytimes.com/2020/07/03/wor…'}], 'hashtags': [{'start': 91, 'end': 103, 'tag': 'ChinaFloods'}, {'start': 204, 'end': 218, 'tag': 'ClimateCrisis'}]}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '854692455005921281', 'name': 'Science', 'description': 'Science'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
1281160607719399424,1072187272815149057,2020-07-09 09:37:46+00:00,,88,14,414,1,"Die neue @Siemens_Energy AG ist ein fossiles Unternehmen durch und durch. Wer jetzt noch auf Kohle, Öl &amp; Gas setzt und keinen Plan zum Paris-konformen Ausstieg hat, leugnet die Realität der #Klimakrise. Die Folgen tragen auch die 91.000 Mitarbeiterinnen!
https://t.co/orzB7unN37","{'mentions': [{'start': 9, 'end': 24, 'username': 'Siemens_Energy', 'id': '35009875'}], 'urls': [{'start': 259, 'end': 282, 'url': 'https://t.co/orzB7unN37', 'expanded_url': 'https://www.handelsblatt.com/meinung/kommentare/kommentar-siemens-energy-muss-sich-der-klima-diskussion-stellen/25983302.html', 'display_url': 'handelsblatt.com/meinung/kommen…'}], 'hashtags': [{'start': 194, 'end': 205, 'tag': 'Klimakrise'}]}","[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597226799105', 'name': 'B2B'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597172203520', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026461380', 'name': 'Siemens'}}]"
1280856899626336256,1072187272815149057,2020-07-08 13:30:56+00:00,,102,6,620,4,"SUCCESS! Thanks to years of resistance from the Standing Rock Sioux Tribe &amp; environmental groups the 1.900km long #DakotaAccessPipeline has been stopped. Let's stand together to make this the new normal! ✊✊✊
https://t.co/ItPWQ9UDCi","{'urls': [{'start': 212, 'end': 235, 'url': 'https://t.co/ItPWQ9UDCi', 'expanded_url': 'https://www.bbc.com/news/world-us-canada-53317852', 'display_url': 'bbc.com/news/world-us-…', 'status': 200, 'unwound_url': 'https://www.bbc.com/news/world-us-canada-53317852'}], 'annotations': [{'start': 48, 'end': 72, 'probability': 0.4464, 'type': 'Organization', 'normalized_text': 'Standing Rock Sioux Tribe'}], 'hashtags': [{'start': 118, 'end': 139, 'tag': 'DakotaAccessPipeline'}]}",[]
1280817926623371264,1072187272815149057,2020-07-08 10:56:04+00:00,,73,15,292,5,"Laut den Deutschen soll die #Klimakrise DAS Thema der deutschen EU-Präsidentschaft werden. Heute spricht #Merkel vor dem EU-Parlament. U.a. @CKemfert hat für das @DIW_Berlin zusammengefasst, dass ihr Ziel von ""50 bis 55%"" Emissionsreduktion bis 2030 nicht ansatzweise ausreicht! https://t.co/S468QzHOs2","{'mentions': [{'start': 140, 'end': 149, 'username': 'CKemfert', 'id': '48406195'}, {'start': 162, 'end': 173, 'username': 'DIW_Berlin', 'id': '135138608'}], 'urls': [{'start': 279, 'end': 302, 'url': 'https://t.co/S468QzHOs2', 'expanded_url': 'https://twitter.com/FridayForFuture/status/1280817926623371264/photo/1', 'display_url': 'pic.twitter.com/S468QzHOs2', 'media_key': '3_1280817923087577088'}], 'hashtags': [{'start': 28, 'end': 39, 'tag': 'Klimakrise'}, {'start': 105, 'end': 112, 'tag': 'Merkel'}]}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '849236271553691648', 'name': 'Angela Merkel', 'description': 'Angela Merkel'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '849236271553691648', 'name': 'Angela Merkel', 'description': 'Angela Merkel'}}]"
1280457439675113473,1072187272815149057,2020-07-07 11:03:38+00:00,,143,18,545,3,"Die #Klimakrise eskaliert und wir feuern sie jährlich mit Milliarden an Steuergeldern zusätzlich an. @ChrisStoecker zeigt, wie absurd fossile Subventionen und die Verlängerung der Kohle bis 2038 auch wirtschaftlich sind:
https://t.co/1iQ8ctMhqi","{'mentions': [{'start': 101, 'end': 115, 'username': 'ChrisStoecker', 'id': '14176770'}], 'urls': [{'start': 221, 'end': 244, 'url': 'https://t.co/1iQ8ctMhqi', 'expanded_url': 'https://www.spiegel.de/wissenschaft/mensch/kohleausstieg-der-wald-vertrocknet-die-regierung-zuendelt-kolumne-a-4d73cec2-3cb1-4b86-a649-5f1198aa8c84', 'display_url': 'spiegel.de/wissenschaft/m…', 'status': 200, 'unwound_url': 'https://www.spiegel.de/wissenschaft/mensch/kohleausstieg-der-wald-vertrocknet-die-regierung-zuendelt-kolumne-a-4d73cec2-3cb1-4b86-a649-5f1198aa8c84'}], 'hashtags': [{'start': 4, 'end': 15, 'tag': 'Klimakrise'}]}",[]
