author_id,conversation_id,created_at,entities,geo,id,text,retweet_count,reply_count,like_count,quote_count,media_keys,username
126978307,1539212198135877633,2022-06-21 11:42:39+00:00,"{'mentions': [{'start': 213, 'end': 224, 'username': 'derspiegel', 'id': '2834511'}]}",,1539212198135877633,"Es heißt, dass Klimapolitik noch immer geplant wird, als werde sie in einer Welt gemacht, in der es keine Klimakrise gibt

FridaysForFuture 

Das Klima soll warten Mal wieder https:tcowYk8G03meS via @derspiegel",1,0,3,0,,Kl_Stone
126978307,1538862555602599937,2022-06-21 11:09:31+00:00,"{'mentions': [{'start': 0, 'end': 10, 'username': 'OSchreibt', 'id': '1008697342617358336'}, {'start': 11, 'end': 22, 'username': 'JoeyVanNos', 'id': '1501591711474200579'}]}",,1539203859066896387,"@OSchreibt @JoeyVanNos Das ist doch inhaltlich das Gleiche 

Und Thunberg hat ihr widersprochen, um klarzulegen, dass unabhängig von der Einhaltung des 1,5Limits der Kampf um die Vermeidung jedes 110Grad Erwärmung Sinn macht

FridaysForFuture 
https:tcoFcqB00Tqra",0,1,0,0,,Kl_Stone
126978307,1539202265076183041,2022-06-21 11:03:11+00:00,,,1539202265076183041,"Nettostromerzeugung in D am gestrigen 20062022

Gesamt 1,275 TWh

EE Wind, Sonne, Biom, Wasser:  47,7
Fossil Kohle, Gas, Öl:                     47,3
Nuklear:                                                 5,0

FridaysForFuture https:tcoDPemgbTEWz",2,0,0,0,3_1539200650709450754,Kl_Stone
126978307,1539124230503243776,2022-06-21 10:38:17+00:00,"{'mentions': [{'start': 0, 'end': 13, 'username': 'DenkenHilft3', 'id': '1385106793030946817'}]}",,1539195998886666242,"@DenkenHilft3 In China vielleicht wenn auch dort nicht überall

Hier bei einem EEAnteil von ca 50 im Strommix sind EAutos schon heute deutlich klimafreundlicher Zumal Menschen, die genug Platz haben, den Strom für ihr Auto zunehmend selbst mit PV produzieren

FridaysForFuture",0,0,1,0,,Kl_Stone
126978307,1539163851840753664,2022-06-21 10:29:46+00:00,"{'mentions': [{'start': 0, 'end': 14, 'username': 'kryptoschland', 'id': '1350905394395275270'}]}",,1539193856176037889,"@kryptoschland FridaysForFuture und die Wissenschaft sagen weder, dass in 30 Jahren nur noch Wüsten auf der Erde existieren, noch, dass wir hier in Deutschland KEIN Auto mehr fahren sollen

Deswegen werde ich Ihren Unsinnstweet nicht weiter kommentieren",0,1,0,0,,Kl_Stone
126978307,1539154365461762048,2022-06-21 09:20:43+00:00,"{'mentions': [{'start': 0, 'end': 9, 'username': 'KaleuDer', 'id': '1433079473344221185'}, {'start': 10, 'end': 25, 'username': 'Luisamneubauer', 'id': '1068337838'}]}",,1539176476444073989,"@KaleuDer @Luisamneubauer Warum sollte sie

Das ist in Ordnung und vernünftig, da es der besonderen Situation geschuldet ist

Ich habe Vertrauen darauf, dass Habeck mit aller Kraft daran arbeitet, parallel den Ausbau der EE voranzutreiben, um Kohle amp Gas mehr und mehr zu ersetzen

FridaysForFuture",0,1,1,0,,Kl_Stone
126978307,1538914184355844096,2022-06-20 18:33:28+00:00,"{'mentions': [{'start': 0, 'end': 15, 'username': 'OppermannRoger', 'id': '1528043933909016576'}, {'start': 16, 'end': 28, 'username': 'FAZ_Politik', 'id': '24274741'}, {'start': 29, 'end': 39, 'username': 'RBingener', 'id': '846335080368885762'}]}",{'place_id': '307e1ee2cb489e79'},1538953196038758400,"@OppermannRoger @FAZ_Politik @RBingener Er heißt Habeck und die Kohlekraftwerke werden nur aufgrund der besonderen Situation in Bereitschaft genommen

Das ist ok, wenn gleichzeitig mit Hochdruck daran gearbeitet wird, die erneuerbaren Energien auszubauen Damit auch die Kohle überflüssig wird

FridaysForFuture",0,0,0,0,,Kl_Stone
126978307,1538923134463750144,2022-06-20 17:46:05+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'LenaSakuraBlume', 'id': '3215961051'}]}",,1538941270294503424,"@LenaSakuraBlume FridaysForFuture Demo in Hamburg gegen den russischen Angriffskrieg in der Ukraine 

Ähnliche von FfF organisierte Demos fanden am gleichen Tag in 40 weiteren Städten in Deutschland und an 200 Orten international statt https:tcoADxGqknHWW",0,1,1,0,3_1538940646031077376,Kl_Stone
126978307,1538939401656573954,2022-06-20 17:38:40+00:00,"{'mentions': [{'start': 127, 'end': 138, 'username': 'derspiegel', 'id': '2834511'}]}",,1538939401656573954,"S Waldbrände in Brandenburg alarmieren Forstwirte: Deutschlands Pulverfass 

FridaysForFuture 
https:tcotBj2Au5W3g via @derspiegel",1,0,0,0,,Kl_Stone
126978307,1538897331352920064,2022-06-20 17:08:49+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'michaelgoehring', 'id': '101548192'}, {'start': 17, 'end': 27, 'username': 'OSchreibt', 'id': '1008697342617358336'}, {'start': 28, 'end': 33, 'username': 'welt', 'id': '8720562'}]}",,1538931890127872000,"@michaelgoehring @OSchreibt @welt Für den Strom, den Sie brauchen um einen einzigen Kuchen zu backen, können Sie ein halbes Jahr lang jeden Tag Ihr Handy komplett aufladen

FridaysForFuture",0,3,0,0,,Kl_Stone
126978307,1538923134463750144,2022-06-20 17:01:03+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'LenaSakuraBlume', 'id': '3215961051'}]}",,1538929937612259328,"@LenaSakuraBlume Sie dürfen diesen Unsinn natürlich gerne weiter glauben Schließlich leben wir in einem freien Land

Dass es kein Russenhass ist, können Sie aber alleine schon daran sehen, dass FridaysForFutureDeutschland in dieser Frage eng mit FfFRussia amp FfFUkraine zusammenarbeitet https:tcoohuJC5rlGQ",0,1,3,0,3_1538929530102026244,Kl_Stone
126978307,1538897331352920064,2022-06-20 16:52:43+00:00,"{'mentions': [{'start': 0, 'end': 15, 'username': 'chocochip_real', 'id': '756572200958853121'}, {'start': 16, 'end': 26, 'username': 'OSchreibt', 'id': '1008697342617358336'}, {'start': 27, 'end': 32, 'username': 'welt', 'id': '8720562'}]}",,1538927837805260801,"@chocochip_real @OSchreibt @welt Der Großhandelspreis an der Strombörse für Strommengen für den kommenden Tag DayAheadPreis ist aber an praktisch allen Tagen in Deutschland niedriger als im Atomkraftwunderland Frankreich

FridaysForFuture https:tcoXJvFex7kjt",0,0,0,0,3_1538927463237050373,Kl_Stone
